# Pause toggle, 2026-08-12, MacBookPro18,3. Pass 1 paused, pass 2 unpaused.
# Mic state (CoreAudio, device 90), 5 Hz:
14:42:32.124  device=90  live
14:42:51.338  device=90  MUTED
14:42:56.234  device=90  live
done
# Lid angle, 10 Hz:
14:42:32.006    27°  screens=1  raw: 01 1b 00
14:42:32.239    25°  screens=1  raw: 01 19 00
14:42:32.340    24°  screens=1  raw: 01 18 00
14:42:32.446    24°  screens=1  raw: 01 18 00
14:42:32.549    23°  screens=1  raw: 01 17 00
14:42:32.654    21°  screens=1  raw: 01 15 00
14:42:32.758    21°  screens=1  raw: 01 15 00
14:42:32.862    21°  screens=1  raw: 01 15 00
14:42:32.965    21°  screens=1  raw: 01 15 00
14:42:33.067    22°  screens=1  raw: 01 16 00
14:42:33.172    21°  screens=1  raw: 01 15 00
14:42:33.276    21°  screens=1  raw: 01 15 00
14:42:33.381    21°  screens=1  raw: 01 15 00
14:42:33.487    21°  screens=1  raw: 01 15 00
14:42:33.593    21°  screens=1  raw: 01 15 00
14:42:33.700    21°  screens=1  raw: 01 15 00
14:42:33.806    21°  screens=1  raw: 01 15 00
14:42:33.911    21°  screens=1  raw: 01 15 00
14:42:34.013    21°  screens=1  raw: 01 15 00
14:42:34.115    21°  screens=1  raw: 01 15 00
14:42:34.220    21°  screens=1  raw: 01 15 00
14:42:34.327    21°  screens=1  raw: 01 15 00
14:42:34.432    21°  screens=1  raw: 01 15 00
14:42:34.537    21°  screens=1  raw: 01 15 00
14:42:34.642    21°  screens=1  raw: 01 15 00
14:42:34.746    21°  screens=1  raw: 01 15 00
14:42:34.847    21°  screens=1  raw: 01 15 00
14:42:34.952    21°  screens=1  raw: 01 15 00
14:42:35.054    21°  screens=1  raw: 01 15 00
14:42:35.160    21°  screens=1  raw: 01 15 00
14:42:35.265    21°  screens=1  raw: 01 15 00
14:42:35.375    21°  screens=1  raw: 01 15 00
14:42:35.481    21°  screens=1  raw: 01 15 00
14:42:35.585    21°  screens=1  raw: 01 15 00
14:42:35.689    21°  screens=1  raw: 01 15 00
14:42:35.794    21°  screens=1  raw: 01 15 00
14:42:35.900    21°  screens=1  raw: 01 15 00
14:42:36.001    21°  screens=1  raw: 01 15 00
14:42:36.104    21°  screens=1  raw: 01 15 00
14:42:36.205    21°  screens=1  raw: 01 15 00
14:42:36.310    21°  screens=1  raw: 01 15 00
14:42:36.415    21°  screens=1  raw: 01 15 00
14:42:36.521    21°  screens=1  raw: 01 15 00
14:42:36.625    21°  screens=1  raw: 01 15 00
14:42:36.730    21°  screens=1  raw: 01 15 00
14:42:36.834    21°  screens=1  raw: 01 15 00
14:42:36.940    21°  screens=1  raw: 01 15 00
14:42:37.046    21°  screens=1  raw: 01 15 00
14:42:37.149    21°  screens=1  raw: 01 15 00
14:42:37.252    21°  screens=1  raw: 01 15 00
14:42:37.356    21°  screens=1  raw: 01 15 00
14:42:37.462    21°  screens=1  raw: 01 15 00
14:42:37.568    21°  screens=1  raw: 01 15 00
14:42:37.672    21°  screens=1  raw: 01 15 00
14:42:37.777    21°  screens=1  raw: 01 15 00
14:42:37.884    21°  screens=1  raw: 01 15 00
14:42:37.989    21°  screens=1  raw: 01 15 00
14:42:38.092    21°  screens=1  raw: 01 15 00
14:42:38.202    21°  screens=1  raw: 01 15 00
14:42:38.309    21°  screens=1  raw: 01 15 00
14:42:38.412    21°  screens=1  raw: 01 15 00
14:42:38.518    21°  screens=1  raw: 01 15 00
14:42:38.620    21°  screens=1  raw: 01 15 00
14:42:38.728    21°  screens=1  raw: 01 15 00
14:42:38.936    21°  screens=1  raw: 01 15 00
14:42:39.043    21°  screens=1  raw: 01 15 00
14:42:39.148    21°  screens=1  raw: 01 15 00
14:42:39.256    21°  screens=1  raw: 01 15 00
14:42:39.359    22°  screens=1  raw: 01 16 00
14:42:39.464    21°  screens=1  raw: 01 15 00
14:42:39.569    21°  screens=1  raw: 01 15 00
14:42:39.675    21°  screens=1  raw: 01 15 00
14:42:39.777    21°  screens=1  raw: 01 15 00
14:42:39.880    21°  screens=1  raw: 01 15 00
14:42:39.986    21°  screens=1  raw: 01 15 00
14:42:40.092    21°  screens=1  raw: 01 15 00
14:42:40.197    21°  screens=1  raw: 01 15 00
14:42:40.326    21°  screens=1  raw: 01 15 00
14:42:40.433    21°  screens=1  raw: 01 15 00
14:42:40.545    21°  screens=1  raw: 01 15 00
14:42:40.653    21°  screens=1  raw: 01 15 00
14:42:40.758    21°  screens=1  raw: 01 15 00
14:42:40.864    21°  screens=1  raw: 01 15 00
14:42:40.970    21°  screens=1  raw: 01 15 00
14:42:41.076    21°  screens=1  raw: 01 15 00
14:42:41.178    21°  screens=1  raw: 01 15 00
14:42:41.284    21°  screens=1  raw: 01 15 00
14:42:41.388    21°  screens=1  raw: 01 15 00
14:42:41.496    23°  screens=1  raw: 01 17 00
14:42:41.600    28°  screens=1  raw: 01 1c 00
14:42:41.705    37°  screens=1  raw: 01 25 00
14:42:41.811    52°  screens=1  raw: 01 34 00
14:42:41.916    67°  screens=1  raw: 01 43 00
14:42:42.022    83°  screens=1  raw: 01 53 00
14:42:42.123    98°  screens=1  raw: 01 62 00
14:42:42.229   108°  screens=1  raw: 01 6c 00
14:42:42.332   114°  screens=1  raw: 01 72 00
14:42:42.439   116°  screens=1  raw: 01 74 00
14:42:42.542   117°  screens=1  raw: 01 75 00
14:42:42.647   117°  screens=1  raw: 01 75 00
14:42:42.752   117°  screens=1  raw: 01 75 00
14:42:42.858   117°  screens=1  raw: 01 75 00
14:42:42.964   117°  screens=1  raw: 01 75 00
14:42:43.070   117°  screens=1  raw: 01 75 00
14:42:43.175   117°  screens=1  raw: 01 75 00
14:42:43.280   117°  screens=1  raw: 01 75 00
14:42:43.388   117°  screens=1  raw: 01 75 00
14:42:43.494   117°  screens=1  raw: 01 75 00
14:42:43.599   117°  screens=1  raw: 01 75 00
14:42:43.701   117°  screens=1  raw: 01 75 00
14:42:43.806   117°  screens=1  raw: 01 75 00
